epoch,auc,categorical_accuracy,loss,precision,recall,val_auc,val_categorical_accuracy,val_loss,val_precision,val_recall
0,0.9246382117271423,0.7529650926589966,0.6676096320152283,0.8168067336082458,0.6587597131729126,0.7949777841567993,0.6129541993141174,1.1454954147338867,1.0,0.09162717312574387
1,0.9679946303367615,0.8427651524543762,0.4231666326522827,0.8608633875846863,0.8176889419555664,0.8918217420578003,0.7030015587806702,0.9922634959220886,0.9857142567634583,0.21800947189331055
2,0.9778478741645813,0.8830904960632324,0.3405565619468689,0.8902015089988708,0.8681802749633789,0.9797054529190063,0.902053713798523,0.7700573205947876,1.0,0.3854660391807556
3,0.9876760244369507,0.9088444709777832,0.2538672387599945,0.9166379570960999,0.9017282128334045,0.9705798029899597,0.8894155025482178,0.5400230288505554,0.9302788972854614,0.7377567291259766
4,0.9879526495933533,0.915621817111969,0.24788065254688263,0.9209078550338745,0.907489001750946,0.9835683107376099,0.9036334753036499,0.45761746168136597,0.9385964870452881,0.8451817035675049
5,0.9920493364334106,0.9227380752563477,0.2036089152097702,0.9278138875961304,0.9190105199813843,0.9822896718978882,0.9162717461585999,0.29899629950523376,0.9330065250396729,0.902053713798523
6,0.9917913675308228,0.9244323968887329,0.2003084272146225,0.928864598274231,0.9203659892082214,0.9866958260536194,0.8988941311836243,0.26813653111457825,0.9069020748138428,0.8925750255584717
7,0.9932100176811218,0.9373093843460083,0.17691554129123688,0.9425837397575378,0.934598445892334,0.9688403606414795,0.8562401533126831,0.451740562915802,0.8655999898910522,0.8546603322029114
8,0.9941697716712952,0.9423924088478088,0.16161130368709564,0.947620689868927,0.9379871487617493,0.987204909324646,0.9146919250488281,0.26428696513175964,0.9146919250488281,0.9146919250488281
9,0.9941309094429016,0.9434090256690979,0.15967708826065063,0.9461485743522644,0.9406980872154236,0.9793946743011475,0.8830963373184204,0.3253635764122009,0.8827258348464966,0.8799368143081665
10,0.9940479397773743,0.9467976689338684,0.16125354170799255,0.9508700370788574,0.944425642490387,0.9868276715278625,0.9131121635437012,0.24975718557834625,0.9171974658966064,0.9099525809288025
11,0.99591463804245,0.9484920501708984,0.13696600496768951,0.9496256113052368,0.9454421997070312,0.9844775795936584,0.9257503747940063,0.2857148349285126,0.925632894039154,0.9241706132888794
12,0.9976866245269775,0.9630633592605591,0.10590796172618866,0.9639700651168823,0.9610301852226257,0.9797028303146362,0.9162717461585999,0.33247244358062744,0.919175922870636,0.9162717461585999
13,0.9974271655082703,0.9562860131263733,0.11408315598964691,0.9574974775314331,0.9542527794837952,0.9917292594909668,0.9257503747940063,0.2092532217502594,0.9285714030265808,0.9241706132888794
14,0.9976893067359924,0.962724506855011,0.09716808050870895,0.9649779200553894,0.9617078900337219,0.9827829599380493,0.9115324020385742,0.3207017183303833,0.9171974658966064,0.9099525809288025
15,0.9980677962303162,0.9705184698104858,0.08445341885089874,0.97214674949646,0.9698407053947449,0.9847707152366638,0.9210110306739807,0.27673888206481934,0.9207606911659241,0.9178515076637268
16,0.9979327917098999,0.9613690376281738,0.0999612957239151,0.9648943543434143,0.9593358039855957,0.984241783618927,0.9257503747940063,0.27137985825538635,0.9272152185440063,0.9257503747940063
17,0.9986062049865723,0.9772958159446716,0.06393349915742874,0.9782682657241821,0.9762791991233826,0.9871828556060791,0.928909957408905,0.24880146980285645,0.928909957408905,0.928909957408905
18,0.9993237853050232,0.9850897789001465,0.04686705768108368,0.9850897789001465,0.9850897789001465,0.9878567457199097,0.9320695400238037,0.25174057483673096,0.9320695400238037,0.9320695400238037
